uuid,Void/Retire,Fully specified name:en,Description:en,Data class,Data type,Answers,Members,Same as mappings,Absolute high,Critical high,Normal high,Absolue low,Critical low,Normal low,Units,Display precision,Allow decimals,Complex data handler,_order:5000
790AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Serum creatinine (umol/L),Laboratory test that determines a blood serum creatinine level.  Often used with BUN to assess kidney function.,LabTest,Numeric,,,,,,,0,,,umol/L,,1,,
1015AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,HEMATOCRIT Imported,Percent of whole blood that is composed of red blood cells.,LabTest,Numeric,,,,100,,51.9,0,21,32.3,%,,1,,
679AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,RED BLOOD CELLS Imported,Blood test to measure the number of red blood cells.,LabTest,Numeric,,,,,,6.1,0,2.3,4,10^6/uL,,1,,
851AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,MEAN CORPUSCULAR VOLUME Imported,The volume of the average red blood cell in a given blood sample that is found by multiplying the hematocrit by 10 and dividing by the estimated number of red blood cells .,LabTest,Numeric,,,,,,100,0,,80,fL,,0,,
163699AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Urea measurement (calculated) Imported,A calculation based on creatinine and blood urea nitrogen..https://en.wikipedia.org/wiki/Blood_urea_nitrogen,LabTest,Numeric,,,,200,,40,10,,20,mg/dl,,0,,
1018AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,MEAN CORPUSCULAR HEMOGLOBIN Imported,"A calculation of the amount of oxygen-carrying hemoglobin inside RBCs. Since macrocytic RBCs are larger than either normal or microcytic RBCs, they would also tend to have higher MCH values.",LabTest,Numeric,,,,,,34,0,,26,pg,,1,,
701AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,O NEGATIVE Imported,"Describes a particular antigen combination on the surface of red blood cells: O, Rh negative.",Finding,N/A,,,,,,,,,,,,,,
692AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,A NEGATIVE Imported,"Describes a particular antigen combination on the surface of red blood cells: A, Rh negative.",Finding,N/A,,,,,,,,,,,,,,
655AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,TOTAL BILIRUBIN Imported,Bilirubin level assay from blood,LabTest,Numeric,,,,,,,0,,,umol/L,,0,,
1231AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AB NEGATIVE Imported,"Describes a particular antigen combination on the surface of red blood cells: AB, Rh negative.",Misc,N/A,,,,,,,,,,,,,,
161445AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Urine routine and microscopy Imported,,LabTest,Text,,,,,,,,,,,,,,
1338AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,LYMPHOCYTES (%) - MICROSCOPIC EXAM Imported,Agranulocytic leukocyte that normally makes up about 25% of the total white blood cell count but increases in the presence of infection.  This is a microscopic exam.,LabTest,Numeric,,,,100,,,0,,,%,,0,,
